Tgl Struk,Qty
2021-08-04,2
2021-08-05,1
2021-08-05,1
2021-08-05,3
2021-08-07,1
2021-08-07,2
2021-08-07,2
2021-08-07,1
2021-08-07,2
2021-08-08,1
2021-08-08,1
2021-08-08,1
2021-08-08,2
2021-08-08,1
2021-08-08,1
2021-08-08,1
2021-08-08,1
2021-08-08,2
2021-08-08,1
2021-08-08,1
2021-08-08,2
2021-08-08,1
2021-08-08,1
2021-08-08,1
2021-08-09,1
2021-08-09,1
2021-08-09,1
2021-08-09,1
2021-08-09,1
2021-08-09,2
2021-08-09,1
2021-08-09,1
2021-08-09,2
2021-08-10,1
2021-08-10,1
2021-08-10,1
2021-08-10,1
2021-08-10,1
2021-08-10,1
2021-08-10,1
2021-08-10,1
2021-08-10,1
2021-08-10,1
2021-08-10,2
2021-08-10,1
2021-08-10,1
2021-08-10,1
2021-08-10,4
2021-08-10,6
2021-08-10,1
2021-08-10,2
2021-08-10,1
2021-08-11,3
2021-08-11,1
2021-08-11,1
2021-08-11,1
2021-08-11,1
2021-08-11,1
2021-08-11,1
2021-08-11,2
2021-08-11,1
2021-08-11,1
2021-08-11,2
2021-08-11,1
2021-08-11,1
2021-08-11,1
2021-08-11,1
2021-08-11,2
2021-08-11,1
2021-08-11,1
2021-08-11,1
2021-08-12,1
2021-08-12,1
2021-08-12,1
2021-08-12,1
2021-08-12,1
2021-08-12,1
2021-08-12,1
2021-08-12,2
2021-08-12,1
2021-08-12,2
2021-08-12,2
2021-08-12,1
2021-08-13,2
2021-08-13,1
2021-08-13,1
2021-08-13,1
2021-08-13,1
2021-08-13,1
2021-08-13,1
2021-08-13,1
2021-08-13,1
2021-08-13,2
2021-08-13,2
2021-08-13,2
2021-08-13,1
2021-08-13,1
2021-08-13,1
2021-08-14,1
2021-08-14,2
2021-08-14,2
2021-08-14,1
2021-08-14,2
2021-08-14,2
2021-08-14,1
2021-08-14,1
2021-08-14,2
2021-08-14,1
2021-08-14,1
2021-08-14,1
2021-08-14,1
2021-08-14,1
2021-08-14,1
2021-08-14,2
2021-08-14,2
2021-08-14,5
2021-08-14,1
2021-08-14,1
2021-08-14,1
2021-08-14,1
2021-08-15,1
2021-08-15,1
2021-08-15,1
2021-08-15,1
2021-08-15,1
2021-08-15,2
2021-08-15,1
2021-08-15,1
2021-08-15,1
2021-08-15,1
2021-08-15,1
2021-08-15,1
2021-08-15,1
2021-08-16,1
2021-08-16,1
2021-08-16,1
2021-08-16,1
2021-08-16,1
2021-08-16,2
2021-08-16,1
2021-08-16,1
2021-08-16,2
2021-08-16,1
2021-08-16,2
2021-08-16,1
2021-08-16,1
2021-08-16,1
2021-08-16,2
2021-08-16,1
2021-08-16,1
2021-08-16,1
2021-08-16,2
2021-08-16,1
2021-08-17,1
2021-08-17,1
2021-08-17,1
2021-08-17,1
2021-08-17,2
2021-08-17,1
2021-08-17,1
2021-08-17,2
2021-08-17,1
2021-08-17,2
2021-08-17,1
2021-08-17,1
2021-08-17,1
2021-08-17,1
2021-08-17,1
2021-08-17,1
2021-08-17,1
2021-08-17,1
2021-08-17,1
2021-08-17,1
2021-08-17,1
2021-08-17,1
2021-08-18,1
2021-08-18,2
2021-08-18,2
2021-08-18,1
2021-08-18,1
2021-08-18,1
2021-08-19,1
2021-08-19,2
2021-08-19,1
2021-08-19,1
2021-08-19,1
2021-08-19,1
2021-08-19,1
2021-08-19,1
2021-08-19,2
2021-08-19,1
2021-08-19,1
2021-08-19,1
2021-08-20,1
2021-08-20,1
2021-08-20,1
2021-08-20,1
2021-08-20,1
2021-08-20,1
2021-08-20,1
2021-08-20,1
2021-08-20,1
2021-08-20,1
2021-08-20,1
2021-08-20,1
2021-08-20,1
2021-08-20,1
2021-08-20,1
2021-08-20,1
2021-08-20,1
2021-08-21,1
2021-08-21,1
2021-08-21,1
2021-08-21,1
2021-08-21,2
2021-08-21,1
2021-08-22,1
2021-08-22,2
2021-08-22,1
2021-08-22,1
2021-08-22,1
2021-08-22,1
2021-08-22,1
2021-08-22,1
2021-08-22,1
2021-08-22,1
2021-08-22,1
2021-08-22,1
2021-08-24,2
2021-08-24,1
2021-08-24,1
2021-08-24,1
2021-08-24,2
2021-08-24,1
2021-08-24,1
2021-08-24,1
2021-08-24,1
2021-08-24,1
2021-08-25,1
2021-08-25,1
2021-08-25,1
2021-08-25,1
2021-08-25,1
2021-08-25,1
2021-08-25,2
2021-08-25,1
2021-08-25,2
2021-08-25,1
2021-08-25,1
2021-08-25,2
2021-08-25,1
2021-08-25,2
2021-08-25,2
2021-08-25,2
2021-08-26,1
2021-08-26,2
2021-08-26,1
2021-08-26,1
2021-08-26,1
2021-08-26,1
2021-08-26,1
2021-08-26,1
2021-08-26,1
2021-08-26,1
2021-08-26,1
2021-08-26,2
2021-08-26,1
2021-08-26,1
2021-08-26,1
2021-08-26,1
2021-08-26,2
2021-08-26,1
2021-08-26,2
2021-08-26,1
2021-08-26,1
2021-08-26,1
2021-08-26,1
2021-08-26,4
2021-08-26,1
2021-08-26,1
2021-08-26,1
2021-08-26,1
2021-08-26,1
2021-08-26,1
2021-08-26,1
2021-08-27,1
2021-08-27,1
2021-08-27,2
2021-08-27,1
2021-08-27,1
2021-08-27,1
2021-08-27,2
2021-08-27,1
2021-08-27,2
2021-08-27,2
2021-08-27,1
2021-08-27,1
2021-08-27,1
2021-08-27,1
2021-08-27,1
2021-08-27,1
2021-08-27,1
2021-08-27,1
2021-08-27,1
2021-08-27,1
2021-08-27,1
2021-08-27,1
2021-08-27,1
2021-08-27,1
2021-08-27,1
2021-08-28,1
2021-08-28,1
2021-08-28,1
2021-08-28,1
2021-08-28,1
2021-08-28,2
2021-08-28,1
2021-08-28,2
2021-08-28,2
2021-08-28,1
2021-08-28,1
2021-08-28,1
2021-08-28,2
2021-08-28,1
2021-08-28,1
2021-08-28,1
2021-08-28,2
2021-08-28,2
2021-08-28,1
2021-08-28,2
2021-08-28,1
2021-08-28,2
2021-08-28,1
2021-08-28,2
2021-08-28,1
2021-08-28,2
2021-08-28,1
2021-08-28,1
2021-08-28,1
2021-08-28,1
2021-08-28,2
2021-08-29,1
2021-08-29,1
2021-08-29,3
2021-08-29,1
2021-08-29,1
2021-08-29,1
2021-08-29,1
2021-08-29,1
2021-08-29,1
2021-08-29,1
2021-08-29,1
